pa,r,K,T0.biom,AIC,quasi_r2,Replicate,Treatment,TreatmentID,Sps,Level
2_NE:R1,0.451941227,0.047515929,0.001,-163.7743697,0.95927042,1,2_NE,NE,2,Species
2_NE:R2,0.1,0.192436936,0.01,-311.3592032,0.986573974,2,2_NE,NE,2,Species
2_NE:R3,0.100428028,0.194522901,0.01,-267.9288959,0.981326059,3,2_NE,NE,2,Species
2_NE:R4,0.11083083,0.164655533,0.008704002,-296.0995229,0.982358786,4,2_NE,NE,2,Species
2_NE:R5,0.130158455,0.142130738,0.007173083,-293.0460372,0.975873712,5,2_NE,NE,2,Species
2_NE:R6,0.12393401,0.139653321,0.008366501,-401.200679,0.987629087,6,2_NE,NE,2,Species
15_NE:R1,0.158791885,0.258013997,0.01,-367.2078495,0.972557494,1,15_NE,NE,15,Species
15_NE:R2,0.146405604,0.249032314,0.01,-353.6709108,0.96467782,2,15_NE,NE,15,Species
15_NE:R3,0.158422375,0.33083982,0.01,-331.560276,0.973689004,3,15_NE,NE,15,Species
15_NE:R4,0.149592231,0.33282949,0.01,-317.0644806,0.969519295,4,15_NE,NE,15,Species
15_NE:R5,0.142323849,0.313719847,0.01,-319.8159292,0.961020259,5,15_NE,NE,15,Species
15_NE:R6,0.191319485,0.347168439,0.01,-357.1445198,0.979715282,6,15_NE,NE,15,Species
18_NE:R1,0.278017018,0.14816573,0.01,-221.1842187,0.981640006,1,18_NE,NE,18,Species
18_NE:R2,0.240832841,0.178589803,0.01,-194.9711309,0.97197392,2,18_NE,NE,18,Species
18_NE:R3,0.25010783,0.17011218,0.01,-193.8658913,0.967174775,3,18_NE,NE,18,Species
18_NE:R4,0.244151472,0.19440699,0.01,-159.9279146,0.930019011,4,18_NE,NE,18,Species
18_NE:R5,0.27326901,0.170468144,0.01,-209.5204828,0.982440293,5,18_NE,NE,18,Species
18_NE:R6,0.301813683,0.175284299,0.009709007,-236.4711614,0.990405188,6,18_NE,NE,18,Species
20_NE:R1,0.11512847,0.023405448,0.01,-245.0859844,0.817513107,1,20_NE,NE,20,Species
20_NE:R2,0.1,0.021220037,0.009589196,-242.5157263,0.755757263,2,20_NE,NE,20,Species
20_NE:R3,0.1,0.025686775,0.01,-255.7891583,0.903029185,3,20_NE,NE,20,Species
20_NE:R4,0.1,0.024055371,0.009454086,-269.9488491,0.934464428,4,20_NE,NE,20,Species
20_NE:R5,0.140459181,0.019741124,0.00896532,-261.0574576,0.886504683,5,20_NE,NE,20,Species
20_NE:R6,0.222049078,0.016628523,0.008114281,-274.671436,0.900305113,6,20_NE,NE,20,Species
23_NE:R1,0.1,0.263404897,0.003117095,-330.5526397,0.989953861,1,23_NE,NE,23,Species
23_NE:R2,0.1,0.202680923,0.003402278,-350.2243223,0.996153719,2,23_NE,NE,23,Species
23_NE:R3,0.1,0.360945275,0.003341544,-303.1651214,0.9919807,3,23_NE,NE,23,Species
23_NE:R4,0.1,0.34353752,0.003375923,-316.075009,0.993774363,4,23_NE,NE,23,Species
23_NE:R5,0.1,0.360800144,0.003462412,-290.4870256,0.986507137,5,23_NE,NE,23,Species
23_NE:R6,0.139140352,0.228968421,0.00219692,-315.5026451,0.995806098,6,23_NE,NE,23,Species
2_E:R1,0.137843081,0.12859604,0.007199734,-212.0321592,0.945909048,1,2_E,E,2,Species
2_E:R2,0.147684621,0.130004555,0.004900501,-207.9932034,0.968422654,2,2_E,E,2,Species
2_E:R3,0.167846967,0.118756469,0.004681108,-245.953332,0.971339566,3,2_E,E,2,Species
2_E:R4,0.131784736,0.145816115,0.006768676,-271.0284168,0.974788896,4,2_E,E,2,Species
2_E:R5,0.193407957,0.121191285,0.002475967,-205.9168803,0.990592519,5,2_E,E,2,Species
2_E:R6,0.195190359,0.242658932,0.003754657,-220.4124794,0.983851964,6,2_E,E,2,Species
15_E:R1,0.203705526,0.3000917,0.01,-321.2026149,0.952015846,1,15_E,E,15,Species
15_E:R2,0.231253458,0.308093974,0.01,-321.1494305,0.952338697,2,15_E,E,15,Species
15_E:R3,0.214862105,0.329003668,0.01,-324.6869289,0.962952407,3,15_E,E,15,Species
15_E:R4,0.225501531,0.335776753,0.01,-306.7605475,0.952494106,4,15_E,E,15,Species
15_E:R5,0.234114473,0.295126008,0.01,-335.0400291,0.957778282,5,15_E,E,15,Species
15_E:R6,0.235536666,0.339770951,0.01,-332.5311677,0.966801142,6,15_E,E,15,Species
18_E:R1,0.231161472,0.235803208,0.01,-221.8334137,0.963724681,1,18_E,E,18,Species
18_E:R2,0.238420596,0.196675592,0.01,-336.0752288,0.980766531,2,18_E,E,18,Species
18_E:R3,0.244703576,0.191872817,0.01,-301.5729793,0.985536328,3,18_E,E,18,Species
18_E:R4,0.239913662,0.19247387,0.01,-337.3240806,0.983216996,4,18_E,E,18,Species
18_E:R5,0.302126927,0.177082403,0.007490593,-305.3893527,0.984822468,5,18_E,E,18,Species
18_E:R6,0.285098516,0.219538224,0.008229005,-281.9884217,0.984523352,6,18_E,E,18,Species
20_E:R1,0.161245528,0.053923372,0.001,-219.9816466,0.981210095,1,20_E,E,20,Species
20_E:R2,0,0,0,0,0,2,20_E,E,20,Species
20_E:R3,0,0,0,0,0,3,20_E,E,20,Species
20_E:R4,0.188179997,0.025708225,0.001,-301.5814308,0.773766647,4,20_E,E,20,Species
20_E:R5,0.173719635,0.032279714,0.001,-126.3063207,0.796293866,5,20_E,E,20,Species
20_E:R6,0.201522801,0.039841959,0.001,-205.2764639,0.886137827,6,20_E,E,20,Species
23_E:R1,0.128787485,0.190377799,0.002762805,-432.9230677,0.997717025,1,23_E,E,23,Species
23_E:R2,0.127783005,0.163370172,0.002703238,-463.0880221,0.998529543,2,23_E,E,23,Species
23_E:R3,0.12648436,0.203331607,0.004048861,-394.673936,0.998477523,3,23_E,E,23,Species
23_E:R4,0.139190225,0.16970591,0.002249788,-346.0957065,0.997154164,4,23_E,E,23,Species
23_E:R5,0.131792681,0.150883877,0.003098616,-356.2557572,0.99833313,5,23_E,E,23,Species
23_E:R6,0.136601771,0.127234378,0.002405267,-425.6116085,0.998653356,6,23_E,E,23,Species