t,LOG10N,pa
66,0.1784,2-NE:R5
67,0.1782,2-NE:R5
0,0.003,2-NE:R6
54,0.1447,2-NE:R6
55,0.148,2-NE:R6
56,0.146,2-NE:R6
57,0.1493,2-NE:R6
58,0.1514,2-NE:R6
59,0.1454,2-NE:R6
61,0.1483,2-NE:R6
60,0.1546,2-NE:R6
62,0.1551,2-NE:R6
63,0.1444,2-NE:R6
64,0.1554,2-NE:R6
65,0.1558,2-NE:R6
66,0.1576,2-NE:R6
67,0.1541,2-NE:R6
67,0.2422,2.15-E:R4
66,0.2329,2.15-E:R4
45,0.2641,2.15-E:R5
64,0.2296,2.15-E:R5
65,0.2234,2.15-E:R5
66,0.2208,2.15-E:R5
67,0.2222,2.15-E:R5
45,0.2667,2.15-E:R6
46,0.1225,2.15-NE:R1
45,0.1316,2.15-NE:R1
48,0.1534,2.15-NE:R1
49,0.1536,2.15-NE:R1
50,0.1569,2.15-NE:R1
51,0.1653,2.15-NE:R1
52,0.1667,2.15-NE:R1
53,0.1604,2.15-NE:R1
54,0.1623,2.15-NE:R1
55,0.1804,2.15-NE:R1
56,0.1732,2.15-NE:R1
57,0.1743,2.15-NE:R1
58,0.1743,2.15-NE:R1
59,0.1773,2.15-NE:R1
60,0.1834,2.15-NE:R1
61,0.184,2.15-NE:R1
62,0.1927,2.15-NE:R1
63,0.1914,2.15-NE:R1
64,0.1964,2.15-NE:R1
65,0.1982,2.15-NE:R1
66,0.2028,2.15-NE:R1
67,0.2034,2.15-NE:R1
46,0.1246,2.15-NE:R2
45,0.1308,2.15-NE:R2
55,0.1703,2.15-NE:R2
56,0.1709,2.15-NE:R2
57,0.1785,2.15-NE:R2
58,0.1837,2.15-NE:R2
59,0.1813,2.15-NE:R2
60,0.182,2.15-NE:R2
61,0.1867,2.15-NE:R2
62,0.1921,2.15-NE:R2
63,0.1912,2.15-NE:R2
64,0.1979,2.15-NE:R2
65,0.1961,2.15-NE:R2
66,0.199,2.15-NE:R2
67,0.2018,2.15-NE:R2
47,0.1489,2.15-NE:R2
48,0.1522,2.15-NE:R2
52,0.1658,2.15-NE:R2
45,0.1075,2.15-NE:R3
46,0.1309,2.15-NE:R3
44,0.1282,2.15-NE:R4
46,0.116,2.15-NE:R4
45,0.1005,2.15-NE:R4
47,0.1433,2.15-NE:R4
53,0.158,2.15-NE:R4
60,0.1771,2.15-NE:R4
67,0.2023,2.15-NE:R4
45,0.1225,2.15-NE:R5
46,0.1114,2.15-NE:R5
59,0.1815,2.15-NE:R5
44,0.1512,2.15-NE:R5
47,0.1504,2.15-NE:R5
61,0.1918,2.15-NE:R5
62,0.1895,2.15-NE:R5
63,0.1932,2.15-NE:R5
54,0.1718,2.15-NE:R5
46,0.1196,2.15-NE:R6
45,0.1262,2.15-NE:R6
48,0.1564,2.15-NE:R6
49,0.1601,2.15-NE:R6
50,0.1658,2.15-NE:R6
51,0.1685,2.15-NE:R6
52,0.1713,2.15-NE:R6
53,0.1716,2.15-NE:R6
54,0.177,2.15-NE:R6
55,0.1826,2.15-NE:R6
56,0.184,2.15-NE:R6
58,0.1919,2.15-NE:R6
57,0.1886,2.15-NE:R6
59,0.1944,2.15-NE:R6
60,0.1986,2.15-NE:R6
61,0.2008,2.15-NE:R6
62,0.2031,2.15-NE:R6
63,0.2078,2.15-NE:R6
64,0.2081,2.15-NE:R6
65,0.212,2.15-NE:R6
66,0.2178,2.15-NE:R6
67,0.2152,2.15-NE:R6
9,0.0311,2.18-E:R1
10,0.0426,2.18-E:R1
11,0.0433,2.18-E:R1
23,0.0811,2.18-E:R1
24,0.0838,2.18-E:R1
25,0.0844,2.18-E:R1
26,0.0879,2.18-E:R1
27,0.0821,2.18-E:R1
38,0.084,2.18-E:R1
37,0.0816,2.18-E:R1
36,0.0799,2.18-E:R1
39,0.0865,2.18-E:R1
40,0.0844,2.18-E:R1
41,0.0869,2.18-E:R1
42,0.0888,2.18-E:R1
43,0.09,2.18-E:R1
44,0.0938,2.18-E:R1
45,0.1001,2.18-E:R1
47,0.1151,2.18-E:R1
46,0.111,2.18-E:R1
48,0.1165,2.18-E:R1
49,0.1138,2.18-E:R1
50,0.1118,2.18-E:R1
51,0.1131,2.18-E:R1
52,0.1117,2.18-E:R1
53,0.1148,2.18-E:R1
54,0.1334,2.18-E:R1
55,0.1151,2.18-E:R1
56,0.1149,2.18-E:R1
57,0.1153,2.18-E:R1
58,0.1155,2.18-E:R1
59,0.1156,2.18-E:R1
60,0.1145,2.18-E:R1
61,0.113,2.18-E:R1
62,0.1117,2.18-E:R1
63,0.1102,2.18-E:R1
64,0.1087,2.18-E:R1
65,0.1045,2.18-E:R1
66,0.1043,2.18-E:R1
67,0.1008,2.18-E:R1
9,0.0275,2.18-E:R2
10,0.0262,2.18-E:R2
23,0.099,2.18-E:R2
45,0.2859,2.18-E:R2
54,0.1929,2.18-E:R2
58,0.1656,2.18-E:R2
59,0.1685,2.18-E:R2
60,0.1699,2.18-E:R2
61,0.1714,2.18-E:R2
62,0.173,2.18-E:R2
63,0.1746,2.18-E:R2
64,0.1783,2.18-E:R2
65,0.1799,2.18-E:R2
66,0.1827,2.18-E:R2
67,0.183,2.18-E:R2
39,0.1265,2.18-E:R2
40,0.1321,2.18-E:R2
25,0.0677,2.18-E:R3
26,0.0718,2.18-E:R3
28,0.0826,2.18-E:R3
27,0.081,2.18-E:R3
54,0.1474,2.18-E:R3
45,0.2412,2.18-E:R3
40,0.0914,2.18-E:R3
41,0.0854,2.18-E:R3
42,0.0868,2.18-E:R3
43,0.0894,2.18-E:R3
53,0.1161,2.18-E:R3
9,0.0308,2.18-E:R4
10,0.029,2.18-E:R4
45,0.2743,2.18-E:R4
54,0.1817,2.18-E:R4
41,0.1109,2.18-E:R4
42,0.106,2.18-E:R4
43,0.1078,2.18-E:R4
44,0.1253,2.18-E:R4
46,0.1271,2.18-E:R4
47,0.1305,2.18-E:R4
48,0.1282,2.18-E:R4
49,0.1348,2.18-E:R4
50,0.1386,2.18-E:R4
51,0.1409,2.18-E:R4
52,0.1425,2.18-E:R4
53,0.1506,2.18-E:R4
55,0.15,2.18-E:R4
56,0.1515,2.18-E:R4
57,0.1523,2.18-E:R4
58,0.1563,2.18-E:R4
59,0.1584,2.18-E:R4
60,0.1599,2.18-E:R4
61,0.1615,2.18-E:R4
62,0.1627,2.18-E:R4
63,0.1629,2.18-E:R4
64,0.1658,2.18-E:R4
65,0.1668,2.18-E:R4
66,0.1703,2.18-E:R4
67,0.173,2.18-E:R4
67,0.173,2.18-E:R4
31,0.0873,2.18-E:R5
30,0.1038,2.18-E:R5
0,0.0046,2.18-E:R5
8,0.0392,2.18-E:R5
9,0.034,2.18-E:R5
10,0.0342,2.18-E:R5
11,0.0396,2.18-E:R5
32,0.0883,2.18-E:R5
33,0.0899,2.18-E:R5
34,0.0937,2.18-E:R5
35,0.0976,2.18-E:R5
40,0.1331,2.18-E:R5
41,0.1347,2.18-E:R5
45,0.2742,2.18-E:R5
47,0.1333,2.18-E:R5
48,0.14,2.18-E:R5
49,0.1439,2.18-E:R5
50,0.1485,2.18-E:R5
51,0.1533,2.18-E:R5
52,0.1562,2.18-E:R5
53,0.165,2.18-E:R5
54,0.1934,2.18-E:R5
55,0.159,2.18-E:R5
57,0.1568,2.18-E:R5
56,0.1582,2.18-E:R5
58,0.1608,2.18-E:R5
59,0.1609,2.18-E:R5
60,0.1617,2.18-E:R5
61,0.1636,2.18-E:R5
62,0.1649,2.18-E:R5
63,0.1662,2.18-E:R5
64,0.1693,2.18-E:R5
65,0.1708,2.18-E:R5
66,0.1735,2.18-E:R5
67,0.1732,2.18-E:R5
7,0.0479,2.18-E:R6
8,0.0425,2.18-E:R6
45,0.3984,2.18-E:R6
54,0.288,2.18-E:R6
25,0.1188,2.18-NE:R1
38,0.1321,2.18-NE:R1
39,0.1312,2.18-NE:R1
40,0.1342,2.18-NE:R1
41,0.1366,2.18-NE:R1
42,0.1385,2.18-NE:R1
43,0.1411,2.18-NE:R1
44,0.1444,2.18-NE:R1
45,0.131,2.18-NE:R1
46,0.142,2.18-NE:R1
47,0.1424,2.18-NE:R1
48,0.1411,2.18-NE:R1
49,0.1383,2.18-NE:R1
50,0.1374,2.18-NE:R1
51,0.1377,2.18-NE:R1
52,0.1352,2.18-NE:R1
53,0.1345,2.18-NE:R1
54,0.1333,2.18-NE:R1
55,0.1345,2.18-NE:R1
56,0.1327,2.18-NE:R1
57,0.1325,2.18-NE:R1
58,0.1332,2.18-NE:R1
59,0.1323,2.18-NE:R1
60,0.13,2.18-NE:R1
61,0.1295,2.18-NE:R1
62,0.1308,2.18-NE:R1
63,0.1295,2.18-NE:R1
64,0.1296,2.18-NE:R1
65,0.1304,2.18-NE:R1
66,0.1272,2.18-NE:R1
67,0.1279,2.18-NE:R1
28,0.1108,2.18-NE:R2
29,0.1195,2.18-NE:R2
30,0.1279,2.18-NE:R2
31,0.1337,2.18-NE:R2
32,0.1318,2.18-NE:R2
33,0.1317,2.18-NE:R2
34,0.1349,2.18-NE:R2
35,0.1377,2.18-NE:R2
36,0.1465,2.18-NE:R2
37,0.1722,2.18-NE:R2
38,0.1906,2.18-NE:R2
39,0.2012,2.18-NE:R2
40,0.206,2.18-NE:R2
41,0.2131,2.18-NE:R2
42,0.2181,2.18-NE:R2
43,0.2268,2.18-NE:R2
45,0.2393,2.18-NE:R2
44,0.2341,2.18-NE:R2
46,0.2437,2.18-NE:R2
47,0.2554,2.18-NE:R2
48,0.2664,2.18-NE:R2
49,0.2747,2.18-NE:R2
50,0.2822,2.18-NE:R2
51,0.2916,2.18-NE:R2
52,0.2993,2.18-NE:R2
53,0.307,2.18-NE:R2
54,0.3156,2.18-NE:R2
55,0.3242,2.18-NE:R2
56,0.3353,2.18-NE:R2
59,0.3622,2.18-NE:R2
58,0.3533,2.18-NE:R2
57,0.3434,2.18-NE:R2
61,0.3781,2.18-NE:R2
60,0.371,2.18-NE:R2
62,0.386,2.18-NE:R2
63,0.3923,2.18-NE:R2
64,0.4012,2.18-NE:R2
65,0.4113,2.18-NE:R2
66,0.4162,2.18-NE:R2
67,0.4195,2.18-NE:R2
39,0.1335,2.18-NE:R3
40,0.141,2.18-NE:R3
41,0.1422,2.18-NE:R3
42,0.1419,2.18-NE:R3
43,0.1427,2.18-NE:R3
44,0.1445,2.18-NE:R3
45,0.1398,2.18-NE:R3
47,0.1308,2.18-NE:R3
46,0.1304,2.18-NE:R3
48,0.1341,2.18-NE:R3
49,0.1336,2.18-NE:R3
50,0.129,2.18-NE:R3
51,0.1231,2.18-NE:R3
52,0.1193,2.18-NE:R3
53,0.1258,2.18-NE:R3
54,0.1386,2.18-NE:R3
55,0.1333,2.18-NE:R3
56,0.1393,2.18-NE:R3
57,0.1412,2.18-NE:R3
58,0.146,2.18-NE:R3
59,0.148,2.18-NE:R3
60,0.1513,2.18-NE:R3
61,0.1538,2.18-NE:R3
62,0.1564,2.18-NE:R3
63,0.156,2.18-NE:R3
64,0.1595,2.18-NE:R3
65,0.1608,2.18-NE:R3
66,0.164,2.18-NE:R3
67,0.1652,2.18-NE:R3
41,0.1267,2.18-NE:R4
42,0.1356,2.18-NE:R4
43,0.1383,2.18-NE:R4
44,0.1384,2.18-NE:R4
45,0.1447,2.18-NE:R4
46,0.1335,2.18-NE:R4
47,0.1294,2.18-NE:R4
48,0.1333,2.18-NE:R4
49,0.1344,2.18-NE:R4
50,0.1352,2.18-NE:R4
52,0.1404,2.18-NE:R4
51,0.139,2.18-NE:R4
53,0.1387,2.18-NE:R4
54,0.1295,2.18-NE:R4
55,0.1122,2.18-NE:R4
56,0.1205,2.18-NE:R4
57,0.1189,2.18-NE:R4
58,0.1238,2.18-NE:R4
59,0.1283,2.18-NE:R4
60,0.1328,2.18-NE:R4
61,0.1359,2.18-NE:R4
62,0.1293,2.18-NE:R4
63,0.1259,2.18-NE:R4
64,0.128,2.18-NE:R4
65,0.1355,2.18-NE:R4
66,0.1439,2.18-NE:R4
67,0.1504,2.18-NE:R4
23,0.0702,2.18-NE:R4
24,0.0737,2.18-NE:R4
25,0.0772,2.18-NE:R4
26,0.08,2.18-NE:R4
27,0.0789,2.18-NE:R4
38,0.1074,2.18-NE:R4
40,0.1053,2.18-NE:R4
28,0.1155,2.18-NE:R5
27,0.113,2.18-NE:R5
29,0.1096,2.18-NE:R5
31,0.0938,2.18-NE:R5
32,0.0919,2.18-NE:R5
33,0.0947,2.18-NE:R5
34,0.0975,2.18-NE:R5
36,0.1124,2.18-NE:R5
37,0.1193,2.18-NE:R5
38,0.1196,2.18-NE:R5
39,0.1205,2.18-NE:R5
40,0.1243,2.18-NE:R5
41,0.1398,2.18-NE:R5
42,0.1425,2.18-NE:R5
43,0.1445,2.18-NE:R5
44,0.1449,2.18-NE:R5
45,0.1573,2.18-NE:R5
46,0.1341,2.18-NE:R5
47,0.1325,2.18-NE:R5
48,0.1331,2.18-NE:R5
49,0.1313,2.18-NE:R5
50,0.1299,2.18-NE:R5
51,0.1318,2.18-NE:R5
52,0.1323,2.18-NE:R5
53,0.1356,2.18-NE:R5
54,0.137,2.18-NE:R5
55,0.1137,2.18-NE:R5
56,0.1205,2.18-NE:R5
57,0.1122,2.18-NE:R5
58,0.1073,2.18-NE:R5
59,0.1068,2.18-NE:R5
60,0.1049,2.18-NE:R5
61,0.1084,2.18-NE:R5
62,0.1105,2.18-NE:R5
63,0.1126,2.18-NE:R5
64,0.1207,2.18-NE:R5
65,0.1234,2.18-NE:R5
66,0.1231,2.18-NE:R5
67,0.1164,2.18-NE:R5
37,0.1063,2.18-NE:R6
36,0.1024,2.18-NE:R6
38,0.1058,2.18-NE:R6
40,0.1155,2.18-NE:R6
41,0.1351,2.18-NE:R6
42,0.1352,2.18-NE:R6
43,0.1395,2.18-NE:R6
44,0.1392,2.18-NE:R6
45,0.1539,2.18-NE:R6
47,0.1302,2.18-NE:R6
46,0.1337,2.18-NE:R6
48,0.1311,2.18-NE:R6
49,0.1294,2.18-NE:R6
50,0.1222,2.18-NE:R6
51,0.1195,2.18-NE:R6
28,0.1123,2.18-NE:R6
52,0.1154,2.18-NE:R6
53,0.1179,2.18-NE:R6
54,0.1235,2.18-NE:R6
55,0.1188,2.18-NE:R6
56,0.1186,2.18-NE:R6
57,0.121,2.18-NE:R6
58,0.1213,2.18-NE:R6
59,0.1222,2.18-NE:R6
60,0.1231,2.18-NE:R6
61,0.1224,2.18-NE:R6
62,0.1218,2.18-NE:R6
63,0.1209,2.18-NE:R6
64,0.1214,2.18-NE:R6
65,0.1204,2.18-NE:R6
66,0.1199,2.18-NE:R6
67,0.1176,2.18-NE:R6
45,0.2685,2.20-E:R1
53,0.1633,2.20-E:R1
54,0.2008,2.20-E:R1
55,0.1971,2.20-E:R1
56,0.1882,2.20-E:R1
57,0.1709,2.20-E:R1
0,0.0132,2.20-E:R1
2,0.0198,2.20-E:R1
10,0.0312,2.20-E:R1
11,0.036,2.20-E:R1
12,0.0331,2.20-E:R1
0,0.0087,2.20-E:R2
2,0.017,2.20-E:R2
25,0.1059,2.20-E:R2
30,0.1239,2.20-E:R2
45,0.3142,2.20-E:R2
53,0.2035,2.20-E:R2
54,0.241,2.20-E:R2
55,0.2405,2.20-E:R2
56,0.2393,2.20-E:R2
57,0.2365,2.20-E:R2
58,0.2126,2.20-E:R2
2,0.0176,2.20-E:R3
0,0.0078,2.20-E:R3
25,0.0896,2.20-E:R3
30,0.1084,2.20-E:R3
45,0.2925,2.20-E:R3
53,0.1788,2.20-E:R3
54,0.2179,2.20-E:R3
55,0.2161,2.20-E:R3
56,0.2145,2.20-E:R3
57,0.2108,2.20-E:R3
58,0.1865,2.20-E:R3
2,0.0181,2.20-E:R4
0,0.0097,2.20-E:R4
45,0.3149,2.20-E:R4
53,0.21,2.20-E:R4
54,0.2498,2.20-E:R4
55,0.2491,2.20-E:R4
56,0.2481,2.20-E:R4
57,0.2455,2.20-E:R4
0,0.007,2.20-E:R5
2,0.016,2.20-E:R5
25,0.0744,2.20-E:R5
45,0.2721,2.20-E:R5
53,0.1557,2.20-E:R5
54,0.1928,2.20-E:R5
55,0.1882,2.20-E:R5
56,0.1818,2.20-E:R5
57,0.1686,2.20-E:R5
0,0.0086,2.20-E:R6
45,0.2596,2.20-E:R6
53,0.1358,2.20-E:R6
54,0.168,2.20-E:R6
55,0.1523,2.20-E:R6
45,0.1457,2.20-NE:R1
46,0.1472,2.20-NE:R1
64,0.2554,2.20-NE:R1
65,0.2604,2.20-NE:R1
66,0.2674,2.20-NE:R1
67,0.2725,2.20-NE:R1
45,0.38,2.20-NE:R2
56,0.4452,2.20-NE:R2
57,0.4566,2.20-NE:R2
58,0.4703,2.20-NE:R2
59,0.4842,2.20-NE:R2
46,0.2967,2.20-NE:R2
41,0.2234,2.20-NE:R2
42,0.2381,2.20-NE:R2
43,0.2549,2.20-NE:R2
44,0.2707,2.20-NE:R2
48,0.332,2.20-NE:R2
47,0.3154,2.20-NE:R2
37,0.1852,2.20-NE:R2
38,0.1929,2.20-NE:R2
39,0.2022,2.20-NE:R2
40,0.2109,2.20-NE:R2
49,0.3461,2.20-NE:R2
51,0.3746,2.20-NE:R2
50,0.3591,2.20-NE:R2
52,0.391,2.20-NE:R2
54,0.4299,2.20-NE:R2
53,0.41,2.20-NE:R2
55,0.4311,2.20-NE:R2
60,0.4974,2.20-NE:R2
62,0.5233,2.20-NE:R2
61,0.51,2.20-NE:R2
63,0.5354,2.20-NE:R2
64,0.5502,2.20-NE:R2
65,0.5624,2.20-NE:R2
66,0.5773,2.20-NE:R2
67,0.5928,2.20-NE:R2
45,0.3063,2.20-NE:R3
54,0.2461,2.20-NE:R3
14,0.0433,2.20-NE:R3
15,0.0379,2.20-NE:R3
16,0.039,2.20-NE:R3
17,0.043,2.20-NE:R3
18,0.0462,2.20-NE:R3
19,0.0509,2.20-NE:R3
20,0.0596,2.20-NE:R3
31,0.1232,2.20-NE:R3
32,0.1299,2.20-NE:R3
33,0.136,2.20-NE:R3
34,0.1401,2.20-NE:R3
35,0.1428,2.20-NE:R3
36,0.1461,2.20-NE:R3
37,0.147,2.20-NE:R3
38,0.1493,2.20-NE:R3
39,0.1527,2.20-NE:R3
40,0.1545,2.20-NE:R3
41,0.1609,2.20-NE:R3
42,0.1635,2.20-NE:R3
44,0.1716,2.20-NE:R3
43,0.1679,2.20-NE:R3
46,0.1712,2.20-NE:R3
47,0.1777,2.20-NE:R3
48,0.1817,2.20-NE:R3
49,0.185,2.20-NE:R3
50,0.1872,2.20-NE:R3
51,0.1904,2.20-NE:R3
52,0.1944,2.20-NE:R3
53,0.2087,2.20-NE:R3
55,0.2151,2.20-NE:R3
56,0.2089,2.20-NE:R3
57,0.2096,2.20-NE:R3
58,0.2131,2.20-NE:R3
59,0.2178,2.20-NE:R3
60,0.2216,2.20-NE:R3
61,0.2253,2.20-NE:R3
62,0.2297,2.20-NE:R3
63,0.2348,2.20-NE:R3
64,0.2394,2.20-NE:R3
65,0.2439,2.20-NE:R3
66,0.2489,2.20-NE:R3
67,0.2522,2.20-NE:R3
45,0.2843,2.20-NE:R4
46,0.138,2.20-NE:R4
51,0.1588,2.20-NE:R4
52,0.1607,2.20-NE:R4
53,0.1753,2.20-NE:R4
54,0.2132,2.20-NE:R4
55,0.2033,2.20-NE:R4
56,0.1877,2.20-NE:R4
57,0.1717,2.20-NE:R4
58,0.1725,2.20-NE:R4
59,0.1734,2.20-NE:R4
60,0.1743,2.20-NE:R4
61,0.176,2.20-NE:R4
62,0.1783,2.20-NE:R4
63,0.1792,2.20-NE:R4
64,0.1825,2.20-NE:R4
65,0.1839,2.20-NE:R4
66,0.1855,2.20-NE:R4
67,0.1846,2.20-NE:R4
45,0.2992,2.20-NE:R5
53,0.1856,2.20-NE:R5
54,0.2217,2.20-NE:R5
55,0.2129,2.20-NE:R5
56,0.2013,2.20-NE:R5
45,0.2839,2.20-NE:R6
53,0.1743,2.20-NE:R6
54,0.2053,2.20-NE:R6
55,0.1862,2.20-NE:R6
45,0.2802,2.23-E:R1
39,0.1124,2.23-E:R1
40,0.1145,2.23-E:R1
32,0.0914,2.23-E:R1
41,0.1202,2.23-E:R1
55,0.2224,2.23-E:R1
54,0.2241,2.23-E:R1
56,0.2238,2.23-E:R1
57,0.2244,2.23-E:R1
58,0.2193,2.23-E:R1
66,0.2074,2.23-E:R1
67,0.2104,2.23-E:R1
42,0.1246,2.23-E:R1
43,0.1322,2.23-E:R1
44,0.1391,2.23-E:R1
46,0.1431,2.23-E:R1
47,0.1573,2.23-E:R1
49,0.1683,2.23-E:R1
48,0.1647,2.23-E:R1
50,0.1698,2.23-E:R1
51,0.1734,2.23-E:R1
52,0.1734,2.23-E:R1
53,0.1878,2.23-E:R1
59,0.1909,2.23-E:R1
60,0.1922,2.23-E:R1
61,0.1941,2.23-E:R1
62,0.1975,2.23-E:R1
63,0.199,2.23-E:R1
64,0.2023,2.23-E:R1
65,0.2045,2.23-E:R1
45,0.2887,2.23-E:R2
27,0.0803,2.23-E:R2
32,0.0961,2.23-E:R2
33,0.0991,2.23-E:R2
34,0.1021,2.23-E:R2
35,0.1047,2.23-E:R2
36,0.1073,2.23-E:R2
37,0.1103,2.23-E:R2
38,0.114,2.23-E:R2
39,0.1173,2.23-E:R2
40,0.1203,2.23-E:R2
41,0.1297,2.23-E:R2
42,0.1349,2.23-E:R2
43,0.1402,2.23-E:R2
44,0.1442,2.23-E:R2
47,0.159,2.23-E:R2
46,0.1538,2.23-E:R2
48,0.1637,2.23-E:R2
49,0.1656,2.23-E:R2
50,0.169,2.23-E:R2
51,0.1733,2.23-E:R2
52,0.1756,2.23-E:R2
53,0.1949,2.23-E:R2
54,0.2364,2.23-E:R2
55,0.239,2.23-E:R2
56,0.2417,2.23-E:R2
57,0.2433,2.23-E:R2
58,0.2405,2.23-E:R2
59,0.2238,2.23-E:R2
60,0.2106,2.23-E:R2
61,0.2133,2.23-E:R2
62,0.2165,2.23-E:R2
64,0.224,2.23-E:R2
63,0.2184,2.23-E:R2
65,0.2267,2.23-E:R2
66,0.2294,2.23-E:R2
67,0.2299,2.23-E:R2
45,0.3124,2.23-E:R3
32,0.1194,2.23-E:R3
33,0.1237,2.23-E:R3
34,0.1249,2.23-E:R3
35,0.1262,2.23-E:R3
36,0.1288,2.23-E:R3
37,0.1294,2.23-E:R3
38,0.1338,2.23-E:R3
39,0.1373,2.23-E:R3
40,0.1395,2.23-E:R3
41,0.1446,2.23-E:R3
42,0.1477,2.23-E:R3
43,0.1537,2.23-E:R3
44,0.164,2.23-E:R3
46,0.173,2.23-E:R3
47,0.1862,2.23-E:R3
48,0.195,2.23-E:R3
49,0.2015,2.23-E:R3
50,0.2062,2.23-E:R3
51,0.2125,2.23-E:R3
52,0.2187,2.23-E:R3
53,0.2373,2.23-E:R3
54,0.2794,2.23-E:R3
55,0.281,2.23-E:R3
56,0.2819,2.23-E:R3
57,0.2839,2.23-E:R3
58,0.282,2.23-E:R3
59,0.268,2.23-E:R3
60,0.2582,2.23-E:R3
61,0.2627,2.23-E:R3
62,0.2698,2.23-E:R3
63,0.2726,2.23-E:R3
64,0.2806,2.23-E:R3
65,0.2847,2.23-E:R3
66,0.2904,2.23-E:R3
67,0.2936,2.23-E:R3
41,0.1507,2.23-E:R4
43,0.1662,2.23-E:R4
42,0.1551,2.23-E:R4
45,0.3133,2.23-E:R4
44,0.1746,2.23-E:R4
46,0.1792,2.23-E:R4
47,0.192,2.23-E:R4
48,0.1992,2.23-E:R4
49,0.2065,2.23-E:R4
50,0.2134,2.23-E:R4
